caso,handle,dimension_original,decision,dimension_nueva,justificacion,certeza,estado
1,https://hdl.handle.net/11362/42355,avances_implementacion,reclasificar,propuestas_politica,"La cita describe una meta/compromiso nacional futuro de mitigación y reforestación, no una acción ejecutada con resultado observable; sigue siendo pertinente como compromiso de política.",Media,propuesta_pendiente
2,https://hdl.handle.net/11362/46101,avances_implementacion,reclasificar,contexto_antecedentes,"La cita explica el estatuto jurídico esperado del Acuerdo de Escazú y su alcance regional; no evidencia ratificación ni implementación. Se conserva como contexto del marco ambiental.",Media,propuesta_pendiente
3,https://hdl.handle.net/11362/46101,diagnostico_estructural,mantener,,"La cita diagnostica un sesgo estructural de atención: el énfasis en escenarios futuros puede invisibilizar problemas actuales de conservación. El podría no elimina la relación explicativa.",Alta,propuesta_pendiente
4,https://hdl.handle.net/11362/47745,avances_implementacion,mantener,,"La creación del fondo en septiembre de 2021 es una acción institucional realizada; la administración futura describe su diseño operativo, no invalida el avance.",Alta,propuesta_pendiente
5,https://hdl.handle.net/11362/68639,diagnostico_estructural,reclasificar,contexto_antecedentes,"La cita presenta el mecanismo europeo y su posible compatibilidad con reglas OMC; es marco regulatorio externo, no explicación causal de una estructura regional.",Alta,propuesta_pendiente
6,https://hdl.handle.net/11362/80727,diagnostico_estructural,mantener,,"La cita atribuye la localización de hogares vulnerables a costos, planificación urbana y exposición al riesgo; contiene una explicación estructural explícita.",Alta,propuesta_pendiente
7,https://hdl.handle.net/11362/69075,propuestas_politica,reclasificar,estado_de_situacion,"La cita reporta que pocos países adoptaron metodologías y cuantifica una brecha de adopción; no formula una recomendación ni instrumento.",Alta,propuesta_pendiente
8,https://hdl.handle.net/11362/37791,diagnostico_estructural,mantener,,"La competencia tributaria se vincula causalmente con decisiones de localización, inversión y externalidades; corresponde a diagnóstico estructural.",Alta,propuesta_pendiente
9,https://hdl.handle.net/11362/37879,diagnostico_estructural,reclasificar,estado_de_situacion,"La cita proyecta un impacto hidrológico concreto de la precipitación, pero no explica una causa estructural del fenómeno.",Alta,propuesta_pendiente
10,https://hdl.handle.net/11362/37910,diagnostico_estructural,reclasificar,estado_de_situacion,"La cita describe la composición observada de recursos climáticos y la entrada en operación de un fondo; no desarrolla causalidad estructural.",Alta,propuesta_pendiente
11,https://hdl.handle.net/11362/38120,diagnostico_estructural,reclasificar,propuestas_politica,"La cita prescribe qué debe incluir una agenda de investigación; es una orientación de política/ciencia, no un diagnóstico causal.",Alta,propuesta_pendiente
13,https://hdl.handle.net/11362/39135,diagnostico_estructural,reclasificar,oportunidades,"La ley reglamentada abre una posibilidad de gestión de bosques para secuestrar CO2; el núcleo semántico es una oportunidad habilitada por un instrumento.",Alta,propuesta_pendiente
14,https://hdl.handle.net/11362/39149,diagnostico_estructural,reclasificar,estado_de_situacion,"La cita proyecta riesgos de escasez y precios por presión alimentaria y variabilidad climática; describe un fenómeno/impacto, no una causa estructural del sistema.",Alta,propuesta_pendiente
15,https://hdl.handle.net/11362/39360,propuestas_politica,reclasificar,avances_implementacion,"Existe un plan de obras y se reporta un resultado observable de reducción de CH4; cumple acción implementada más resultado.",Alta,propuesta_pendiente
16,https://hdl.handle.net/11362/39367,avances_implementacion,reclasificar,propuestas_politica,"La cita establece una condición operativa para captar recursos —comprobar reducciones—, pero no evidencia una acción ya implementada con resultado.",Media,propuesta_pendiente
18,https://hdl.handle.net/11362/39661,diagnostico_estructural,mantener,,"La cita explica un mecanismo institucional: descentralizar podría generar competencia contaminante entre jurisdicciones; es causalidad estructural, aunque hipotética.",Alta,propuesta_pendiente
19,https://hdl.handle.net/11362/39661,propuestas_politica,reclasificar,estado_de_situacion,"La cita describe un conflicto institucional existente en China; no contiene propuesta ni instrumento prescriptivo.",Alta,propuesta_pendiente
20,https://hdl.handle.net/11362/39824,brechas_implementacion,mantener,,"La poca evidencia sobre éxito y efectividad de medidas de adaptación expresa insuficiencia de implementación/evidencia frente a lo esperado.",Alta,propuesta_pendiente
21,https://hdl.handle.net/11362/39855,avances_implementacion,reclasificar,estado_de_situacion,"La cita constata alianzas existentes, pero no informa una acción ejecutada con resultado observable; describe el estado institucional.",Alta,propuesta_pendiente
22,https://hdl.handle.net/11362/40297,tendencias,reclasificar,diagnostico_estructural,"La cita explica que el efecto depende de la estructura económica y la magnitud del impuesto; es una relación causal, no una evolución temporal.",Alta,propuesta_pendiente
