"caso","handle","dimension_original","decision","dimension_nueva","justificacion","certeza","fecha"
"12","https://hdl.handle.net/11362/38274","oportunidades","mantener","","La cita presenta los contratos de opción como alternativa menos costosa y favorable frente al riesgo de falta de agua; el marcador falta describe el problema","no invalida la oportunidad.","Alta"
"17","https://hdl.handle.net/11362/39534","avances_implementacion","mantener","","La expresión hayan logrado establecer un marco legal integral evidencia una acción alcanzada; la mención de prioridades pendientes es contexto contrastante.","Alta","2026-08-24"
"40","https://hdl.handle.net/11362/43419","diagnostico_estructural","reclasificar","propuestas_politica","La cita formula una orientación explícita sobre dónde deben realizarse esfuerzos adicionales; no explica una causa estructural.","Alta","2026-08-24"
"50","https://hdl.handle.net/11362/44487","tendencias","mantener","","La cita compara el foco de financiamiento en 2016 y reporta una tendencia de priorización de la mitigación; Fondo es contexto instrumental.","Alta","2026-08-24"
"59","https://hdl.handle.net/11362/45023","oportunidades","mantener","","La cita describe una condición desfavorable y una posibilidad concreta de apertura de crédito; es una oportunidad condicionada","no una brecha asignada como dimensión principal.","Alta"
"81","https://hdl.handle.net/11362/46433","diagnostico_estructural","mantener","","La cita atribuye la coordinación/regulación y generación de valor al poder y control de una empresa dominante; contiene causalidad estructural explícita.","Alta","2026-08-24"
"88","https://hdl.handle.net/11362/47730","diagnostico_estructural","reclasificar","estado_de_situacion","La cita reporta diferencias observadas en la respuesta de emisiones ante tasas impositivas; no explica la causa estructural de esas diferencias.","Alta","2026-08-24"
"89","https://hdl.handle.net/11362/47883","oportunidades","mantener","","La cita identifica una mejora ambiental potencial con ganancias agrícolas; brecha funciona como condición de oportunidad.","Alta","2026-08-24"
"95","https://hdl.handle.net/11362/48166","diagnostico_estructural","mantener","","La cita explica causalmente la vulnerabilidad por debilidades de planificación y regulación urbana; corresponde al diagnóstico estructural.","Alta","2026-08-24"
"1","https://hdl.handle.net/11362/42355","avances_implementacion","reclasificar","propuestas_politica","La cita describe una meta/compromiso nacional futuro de mitigación y reforestación, no una acción ejecutada con resultado observable; sigue siendo pertinente como compromiso de política.","Media",
"2","https://hdl.handle.net/11362/46101","avances_implementacion","reclasificar","contexto_antecedentes","La cita explica el estatuto jurídico esperado del Acuerdo de Escazú y su alcance regional; no evidencia ratificación ni implementación. Se conserva como contexto del marco ambiental.","Media",
"3","https://hdl.handle.net/11362/46101","diagnostico_estructural","mantener","","La cita diagnostica un sesgo estructural de atención: el énfasis en escenarios futuros puede invisibilizar problemas actuales de conservación. El podría no elimina la relación explicativa.","Alta",
"4","https://hdl.handle.net/11362/47745","avances_implementacion","mantener","","La creación del fondo en septiembre de 2021 es una acción institucional realizada; la administración futura describe su diseño operativo, no invalida el avance.","Alta",
"5","https://hdl.handle.net/11362/68639","diagnostico_estructural","reclasificar","contexto_antecedentes","La cita presenta el mecanismo europeo y su posible compatibilidad con reglas OMC; es marco regulatorio externo, no explicación causal de una estructura regional.","Alta",
"6","https://hdl.handle.net/11362/80727","diagnostico_estructural","mantener","","La cita atribuye la localización de hogares vulnerables a costos, planificación urbana y exposición al riesgo; contiene una explicación estructural explícita.","Alta",
"7","https://hdl.handle.net/11362/69075","propuestas_politica","reclasificar","estado_de_situacion","La cita reporta que pocos países adoptaron metodologías y cuantifica una brecha de adopción; no formula una recomendación ni instrumento.","Alta",
"8","https://hdl.handle.net/11362/37791","diagnostico_estructural","mantener","","La competencia tributaria se vincula causalmente con decisiones de localización, inversión y externalidades; corresponde a diagnóstico estructural.","Alta",
"9","https://hdl.handle.net/11362/37879","diagnostico_estructural","reclasificar","estado_de_situacion","La cita proyecta un impacto hidrológico concreto de la precipitación, pero no explica una causa estructural del fenómeno.","Alta",
"10","https://hdl.handle.net/11362/37910","diagnostico_estructural","reclasificar","estado_de_situacion","La cita describe la composición observada de recursos climáticos y la entrada en operación de un fondo; no desarrolla causalidad estructural.","Alta",
"11","https://hdl.handle.net/11362/38120","diagnostico_estructural","reclasificar","propuestas_politica","La cita prescribe qué debe incluir una agenda de investigación; es una orientación de política/ciencia, no un diagnóstico causal.","Alta",
"13","https://hdl.handle.net/11362/39135","diagnostico_estructural","reclasificar","oportunidades","La ley reglamentada abre una posibilidad de gestión de bosques para secuestrar CO2; el núcleo semántico es una oportunidad habilitada por un instrumento.","Alta",
"14","https://hdl.handle.net/11362/39149","diagnostico_estructural","reclasificar","estado_de_situacion","La cita proyecta riesgos de escasez y precios por presión alimentaria y variabilidad climática; describe un fenómeno/impacto, no una causa estructural del sistema.","Alta",
"15","https://hdl.handle.net/11362/39360","propuestas_politica","reclasificar","avances_implementacion","Existe un plan de obras y se reporta un resultado observable de reducción de CH4; cumple acción implementada más resultado.","Alta",
"16","https://hdl.handle.net/11362/39367","avances_implementacion","reclasificar","propuestas_politica","La cita establece una condición operativa para captar recursos —comprobar reducciones—, pero no evidencia una acción ya implementada con resultado.","Media",
"18","https://hdl.handle.net/11362/39661","diagnostico_estructural","mantener","","La cita explica un mecanismo institucional: descentralizar podría generar competencia contaminante entre jurisdicciones; es causalidad estructural, aunque hipotética.","Alta",
"19","https://hdl.handle.net/11362/39661","propuestas_politica","reclasificar","estado_de_situacion","La cita describe un conflicto institucional existente en China; no contiene propuesta ni instrumento prescriptivo.","Alta",
"20","https://hdl.handle.net/11362/39824","brechas_implementacion","mantener","","La poca evidencia sobre éxito y efectividad de medidas de adaptación expresa insuficiencia de implementación/evidencia frente a lo esperado.","Alta",
"21","https://hdl.handle.net/11362/39855","avances_implementacion","reclasificar","estado_de_situacion","La cita constata alianzas existentes, pero no informa una acción ejecutada con resultado observable; describe el estado institucional.","Alta",
"22","https://hdl.handle.net/11362/40297","tendencias","reclasificar","diagnostico_estructural","La cita explica que el efecto depende de la estructura económica y la magnitud del impuesto; es una relación causal, no una evolución temporal.","Alta",
"23","https://hdl.handle.net/11362/40297","oportunidades","reclasificar","estado_de_situacion","La cita describe la incidencia distributiva esperada de un impuesto bajo un supuesto de consumo; no presenta una ventana favorable o potencial no explotado.","Alta",
"24","https://hdl.handle.net/11362/40841","diagnostico_estructural","mantener","","Las elasticidades ingreso y precio explican causalmente por qué el crecimiento eleva el consumo y por qué un impuesto puede ser insuficiente; corresponde a diagnóstico estructural.","Alta",
"25","https://hdl.handle.net/11362/40887","diagnostico_estructural","reclasificar","brechas_implementacion","La limitación legal expresa impide al Estado adquirir acciones de seguros; es una insuficiencia institucional frente a la participación esperada.","Alta",
"26","https://hdl.handle.net/11362/40887","propuestas_politica","reclasificar","brechas_implementacion","La inexistencia de un ente público responsable de seguros agropecuarios describe una brecha institucional, no una recomendación.","Alta",
