handle,tipo_alerta,detalle,decision,justificacion,fecha,estado
https://hdl.handle.net/11362/80727,rango_recomendaciones,"1 item fuera del rango heurístico 81-246",mantener,"La página señalada pertenece al cuerpo del documento; el desglose agrega recomendaciones ubicadas en distintas secciones. No se exige reconciliar numeración PDF/visor/TXT en esta fase.",2026-08-24,aceptado
https://hdl.handle.net/11362/38274,rango_recomendaciones,"3 items fuera del rango heurístico 36-68",mantener,"Las páginas 15, 19 y 32 corresponden a recomendaciones o medidas tratadas antes del cierre; el rango heurístico solo capturó la sección final. Rango aproximado aceptado.",2026-08-24,aceptado
https://hdl.handle.net/11362/39009,rango_recomendaciones,"6 items fuera del rango heurístico 33-34",mantener,"Las seis recomendaciones están en la página 38, inmediatamente posterior al rango de conclusiones detectado; se trata de una diferencia de anclaje de sección, no de una cita inválida.",2026-08-24,aceptado
https://hdl.handle.net/11362/42140,orden_secciones,"31-49 después de 34-35",mantener,"Los rangos de subsecciones se solapan; el inicio posterior puede ser menor que el fin del rango anterior sin indicar página mal asignada.",2026-08-24,aceptado
https://hdl.handle.net/11362/42140,orden_secciones,"55-62 después de 58-60",mantener,"Los rangos de subsecciones se solapan; el inicio posterior puede ser menor que el fin del rango anterior sin indicar página mal asignada.",2026-08-24,aceptado
https://hdl.handle.net/11362/42140,orden_secciones,"155-159 después de 157-161",mantener,"Los rangos de subsecciones se solapan; el inicio posterior puede ser menor que el fin del rango anterior sin indicar página mal asignada.",2026-08-24,aceptado
https://hdl.handle.net/11362/42140,rango_recomendaciones,"4 items fuera del rango heurístico 31-265",mantener,"El documento reúne recomendaciones de varios módulos y capítulos; el rango detectado no representa una sección única de recomendaciones. Páginas conservadas como aproximadas.",2026-08-24,aceptado
https://hdl.handle.net/11362/42175,orden_secciones,"25-32 después de 26-26",mantener,"El rango de la subsección G se solapa con la subsección F; no es evidencia de una cita desanclada.",2026-08-24,aceptado
https://hdl.handle.net/11362/44096,rango_recomendaciones,"2 items fuera del rango heurístico 29-51",mantener,"Las páginas 11 y 19 documentan medidas generales previas a las propuestas metodológicas; el desglose no se limita a una sección final.",2026-08-24,aceptado
https://hdl.handle.net/11362/45111,rango_recomendaciones,"12 items fuera del rango heurístico 37-38",mantener,"Las recomendaciones están ubicadas en las páginas 98-100, dentro de la sección 4.4 de ejes estratégicos; la heurística eligió una subsección anterior cuyo título contiene propuestas.",2026-08-24,aceptado
https://hdl.handle.net/11362/45677,rango_recomendaciones,"1 item fuera del rango heurístico 159-336",mantener,"La página 156 corresponde a una recomendación del capítulo III y el desglose cubre recomendaciones de todo el documento; el rango de una conclusión intermedia es insuficiente.",2026-08-24,aceptado
